year,round,alt,driverId,driverRef,driver_points,driver_standings_pos,driver_wins,grid,Podium,circuitRef,constructorRef,seconds
2001,2,18,55,alesi,0,13,0,13,9,sepang,prost,0
2001,2,18,22,barrichello,10,2,0,2,2,sepang,ferrari,6478.461
2001,2,18,58,marques,0,19,0,20,14,sepang,minardi,0
2001,2,18,30,michael_schumacher,20,1,2,1,1,sepang,ferrari,6454.801
2001,2,18,4,alonso,0,16,0,21,13,sepang,minardi,0
2001,2,18,50,verstappen,0,9,0,18,7,sepang,arrows,6536.361
2001,2,18,14,coulthard,10,3,0,8,3,sepang,mclaren,6483.356
2001,2,18,44,panis,0,10,0,10,0,sepang,bar,0
2001,2,18,21,fisichella,0,18,0,16,0,sepang,benetton,0
2001,2,18,54,burti,0,11,0,15,10,sepang,jaguar,0
2001,2,18,49,frentzen,5,4,0,9,4,sepang,jordan,6501.344
2001,2,18,56,irvine,0,15,0,12,0,sepang,jaguar,0
2001,2,18,57,hakkinen,1,7,0,4,6,sepang,mclaren,6503.407
2001,3,785,2,heidfeld,7,4,0,9,3,interlagos,sauber,0
2001,3,785,23,ralf_schumacher,2,8,0,2,0,interlagos,williams,0
2001,3,785,15,trulli,2,7,0,7,5,interlagos,jordan,0
2001,3,785,8,raikkonen,1,11,0,10,0,interlagos,sauber,0
2001,3,785,60,mazzacane,0,20,0,21,0,interlagos,prost,0
2001,3,785,18,button,0,17,0,20,10,interlagos,benetton,0
2001,3,785,55,alesi,0,14,0,15,8,interlagos,prost,0
2001,3,785,22,barrichello,10,3,0,6,0,interlagos,ferrari,0
2001,3,785,58,marques,0,16,0,22,9,interlagos,minardi,0
2001,3,785,30,michael_schumacher,26,1,2,1,2,interlagos,ferrari,5956.998
2001,3,785,4,alonso,0,19,0,19,0,interlagos,minardi,0
2001,3,785,50,verstappen,0,12,0,17,0,interlagos,arrows,0
2001,3,785,14,coulthard,20,2,1,5,1,interlagos,mclaren,5940.834
2001,3,785,35,villeneuve,0,13,0,12,7,interlagos,bar,0
2001,3,785,44,panis,3,6,0,11,4,interlagos,bar,0
2001,3,785,21,fisichella,1,9,0,18,6,interlagos,benetton,0
2001,3,785,54,burti,0,15,0,14,0,interlagos,jaguar,0
2001,3,785,49,frentzen,5,5,0,8,11,interlagos,jordan,0
2001,3,785,56,irvine,0,18,0,13,0,interlagos,jaguar,0
2001,3,785,57,hakkinen,1,10,0,3,0,interlagos,mclaren,0
2001,4,37,2,heidfeld,7,5,0,12,7,imola,sauber,0
2001,4,37,23,ralf_schumacher,12,4,1,3,1,imola,williams,5444.817
2001,4,37,15,trulli,4,8,0,5,5,imola,jordan,5530.375
2001,4,37,8,raikkonen,1,11,0,10,0,imola,sauber,0
2001,4,37,60,mazzacane,0,21,0,20,0,imola,prost,0
2001,4,37,18,button,0,17,0,21,12,imola,benetton,0
2001,4,37,55,alesi,0,14,0,14,9,imola,prost,0
2001,4,37,22,barrichello,14,3,0,6,3,imola,ferrari,5479.583
2001,4,37,58,marques,0,16,0,22,0,imola,minardi,0
2001,4,37,30,michael_schumacher,26,1,2,4,0,imola,ferrari,0
2001,4,37,4,alonso,0,20,0,18,0,imola,minardi,0
2001,4,37,50,verstappen,0,12,0,17,0,imola,arrows,0
2001,4,37,14,coulthard,26,2,1,1,2,imola,mclaren,5449.169
2001,4,37,35,villeneuve,0,13,0,11,0,imola,bar,0
2001,4,37,59,bernoldi,0,18,0,16,10,imola,arrows,0
2001,4,37,44,panis,3,9,0,8,8,imola,bar,0
2001,4,37,21,fisichella,1,10,0,19,0,imola,benetton,0
2001,4,37,54,burti,0,15,0,15,11,imola,jaguar,0
2001,4,37,49,frentzen,6,6,0,9,6,imola,jordan,0
2001,4,37,56,irvine,0,19,0,13,0,imola,jaguar,0
2001,4,37,57,hakkinen,4,7,0,2,4,imola,mclaren,5481.132
2001,5,109,2,heidfeld,8,5,0,10,6,catalunya,sauber,5525.198
2001,5,109,23,ralf_schumacher,12,4,1,5,0,catalunya,williams,0
2001,5,109,15,trulli,7,6,0,6,4,catalunya,jordan,5514.558
2001,5,109,8,raikkonen,1,12,0,9,8,catalunya,sauber,5543.113
2001,5,109,18,button,0,18,0,21,15,catalunya,benetton,0
2001,5,109,55,alesi,0,15,0,15,10,catalunya,prost,0
2001,5,109,22,barrichello,14,3,0,4,0,catalunya,ferrari,0
2001,5,109,58,marques,0,17,0,22,16,catalunya,minardi,0
2001,5,109,30,michael_schumacher,36,1,3,1,1,catalunya,ferrari,5463.305
2001,5,109,4,alonso,0,21,0,18,13,catalunya,minardi,0
2001,5,109,50,verstappen,0,14,0,17,12,catalunya,arrows,0
2001,5,109,14,coulthard,28,2,1,3,5,catalunya,mclaren,5514.921
2001,5,109,35,villeneuve,4,9,0,7,3,catalunya,bar,5512.931
2001,5,109,59,bernoldi,0,19,0,16,0,catalunya,arrows,0
2001,5,109,44,panis,3,11,0,11,7,catalunya,bar,5528.282
2001,5,109,21,fisichella,1,13,0,19,14,catalunya,benetton,0
2001,5,109,54,burti,0,16,0,14,11,catalunya,prost,0
2001,5,109,49,frentzen,6,8,0,8,0,catalunya,jordan,0
2001,5,109,31,montoya,6,7,0,12,2,catalunya,williams,5504.043
2001,5,109,56,irvine,0,20,0,13,0,catalunya,jaguar,0
2001,5,109,57,hakkinen,4,10,0,2,9,catalunya,mclaren,0
2001,6,678,2,heidfeld,8,5,0,6,9,red_bull_ring,sauber,0
2001,6,678,23,ralf_schumacher,12,4,1,3,0,red_bull_ring,williams,0
2001,6,678,15,trulli,7,6,0,5,0,red_bull_ring,jordan,0
2001,6,678,8,raikkonen,4,11,0,9,4,red_bull_ring,sauber,5307.52
2001,6,678,18,button,0,19,0,21,0,red_bull_ring,benetton,0
2001,6,678,55,alesi,0,16,0,20,10,red_bull_ring,prost,0
2001,6,678,22,barrichello,18,3,0,4,3,red_bull_ring,ferrari,5268.454
2001,6,678,58,marques,0,18,0,22,0,red_bull_ring,minardi,0
2001,6,678,30,michael_schumacher,42,1,3,1,2,red_bull_ring,ferrari,5268.117
2001,6,678,4,alonso,0,21,0,18,0,red_bull_ring,minardi,0
2001,6,678,50,verstappen,1,13,0,16,6,red_bull_ring,arrows,0
2001,6,678,14,coulthard,38,2,2,7,1,red_bull_ring,mclaren,5265.927
2001,6,678,35,villeneuve,4,10,0,12,8,red_bull_ring,bar,0
2001,6,678,59,bernoldi,0,20,0,15,0,red_bull_ring,arrows,0
2001,6,678,44,panis,5,9,0,10,5,red_bull_ring,bar,5319.702
2001,6,678,21,fisichella,1,14,0,19,0,red_bull_ring,benetton,0
2001,6,678,54,burti,0,17,0,17,11,red_bull_ring,prost,0
2001,6,678,49,frentzen,6,8,0,11,0,red_bull_ring,jordan,0
2001,6,678,31,montoya,6,7,0,2,0,red_bull_ring,williams,0
2001,6,678,56,irvine,0,15,0,13,7,red_bull_ring,jaguar,0
2001,6,678,57,hakkinen,4,12,0,8,0,red_bull_ring,mclaren,0
2001,7,7,2,heidfeld,8,5,0,16,0,monaco,sauber,0
2001,7,7,23,ralf_schumacher,12,4,1,5,0,monaco,williams,0
2001,7,7,15,trulli,7,7,0,8,0,monaco,jordan,0
2001,7,7,8,raikkonen,4,12,0,15,10,monaco,sauber,0
2001,7,7,18,button,0,17,0,17,7,monaco,benetton,0
2001,7,7,55,alesi,1,15,0,11,6,monaco,prost,0
2001,7,7,22,barrichello,24,3,0,4,2,monaco,ferrari,6442.992
2001,7,7,58,marques,0,20,0,22,0,monaco,minardi,0
2001,7,7,30,michael_schumacher,52,1,4,2,1,monaco,ferrari,6442.561
2001,7,7,4,alonso,0,21,0,18,0,monaco,minardi,0
2001,7,7,50,verstappen,1,14,0,19,8,monaco,arrows,0
2001,7,7,14,coulthard,40,2,2,1,5,monaco,mclaren,0
2001,7,7,35,villeneuve,7,6,0,9,4,monaco,bar,6475.015
2001,7,7,59,bernoldi,0,19,0,20,9,monaco,arrows,0
2001,7,7,44,panis,5,10,0,12,0,monaco,bar,0
